Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported direct emissions from Transmission Pipelines,2021 Total reported direct emissions from Transmission Pipelines,2020 Total reported direct emissions from Transmission Pipelines,2019 Total reported direct emissions from Transmission Pipelines,2018 Total reported direct emissions from Transmission Pipelines,2017 Total reported direct emissions from Transmission Pipelines,2016 Total reported direct emissions from Transmission Pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Nebraska,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,7718.2,13817.51,52111.01,12009.76,2356.37,1060.54,10265.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,New Mexico,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,348.02,0.5,44,540.5,149,375.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Oklahoma,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,38.52,13859.8,10879.33,46.83,,,1715.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,South Dakota,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,2156.79,35.8,615.48,,3,60.33,802.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Texas,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,4814.34,745.04,9049.69,2234.45,1022.47,6947.92,6429.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Wisconsin,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,916.89,3061.2,3772.91,41.29,1588.94,386.13,755.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013340,110071162483,Northwest Pipeline GP - Pipeline,Colorado,Tulsa,OK,74172,One Williams Center,WAGONER COUNTY,36.08256,-95.67245,486210,W-TRANS,217.3520286,41.543866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013340,110071162483,Northwest Pipeline GP - Pipeline,Idaho,Tulsa,OK,74172,One Williams Center,WAGONER COUNTY,36.08256,-95.67245,486210,W-TRANS,3739.0803976,19.174092,14560.9702972,24405.7051686,22575.7037481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013340,110071162483,Northwest Pipeline GP - Pipeline,Oregon,Tulsa,OK,74172,One Williams Center,WAGONER COUNTY,36.08256,-95.67245,486210,W-TRANS,408.0579411,,,15978.41,1253.5975697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013340,110071162483,Northwest Pipeline GP - Pipeline,Utah,Tulsa,OK,74172,One Williams Center,WAGONER COUNTY,36.08256,-95.67245,486210,W-TRANS,76.8789784,25.565456,,,3993.232922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
