Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,
All GHG data is presented in units of metric tons of carbon dioxide equivalent,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Quantity of CO2 Received for Injection,2021 Quantity of CO2 Received for Injection,2020 Quantity of CO2 Received for Injection,2019 Quantity of CO2 Received for Injection,2018 Quantity of CO2 Received for Injection,2017 Quantity of CO2 Received for Injection,2016 Quantity of CO2 Received for Injection,2015 Quantity of CO2 Received for Injection,2014 Quantity of CO2 Received for Injection,2013 Quantity of CO2 Received for Injection,2012 Quantity of CO2 Received for Injection,2011 Quantity of CO2 Received for Injection
1011085,110071159337,Goldsmith Landreth San Andres Unit Injection Facility,Goldsmith,TX,79741,1801 N Station Road,ECTOR COUNTY,31.9873,-102.64999,211120,UU,,,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,
1009947,110071159435,Gramstorff Upper Morrow Unit,Booker,TX,79005,,OCHILTREE COUNTY,36.4689,-100.5608,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1011122,110058239008,Grieve EOR Facility,Casper,WY,82604,9575 Forest Oil Road,NATRONA COUNTY,42.742331,-107.003784,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,
1010657,110071159875,HAMILTON DOME GAS INJECTION,THERMOPOLIS,WY,82433,,HOT SPRINGS COUNTY,43.7797,-108.5719,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010463,110070082086,Hartland 36 Injection Well 1,Hartland,MI,48353,,OAKLAND,42.618942,-83.687829,211111,UU,,,,,,,,confidential,confidential,confidential,confidential,confidential
1009634,110011400821,Hastings EOR Facility,Alvin,TX,77511,19315 Hwy 35 North,BRAZORIA COUNTY,29.49997,-95.24695,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1002676,110071161329,Hawkins Gas Plant,HAWKINS,TX,75765,,WOOD COUNTY,32.6105,-95.1957,211130,"C,W-PROC",,,,,,,,,confidential,,,
1009635,110055517338,Heidelberg EOR Facility,Heidelberg,MS,39439,175 County Road 359,JASPER COUNTY,31.880389,-89.007389,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1013111,,Hilcorp Energy Company - Central Overthrust Basin (507),Houston,TX,77002,1111 Travis St.,,29.752554,-95.3704009,211130,W-ONSH,,,,confidential,confidential,,,,,,,
1009647,110071162221,Hobbs / Seminole / WCF,Seminole,TX,79360,609 CR 330,GAINES COUNTY,32.698752,-102.713512,211120,UU,,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
