Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported emissions from Gathering & Boosting ,2021 Total reported emissions from Gathering & Boosting ,2020 Total reported emissions from Gathering & Boosting ,2019 Total reported emissions from Gathering & Boosting ,2018 Total reported emissions from Gathering & Boosting ,2017 Total reported emissions from Gathering & Boosting ,2016 Total reported emissions from Gathering & Boosting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012777,110071162451,Amplify Energy Operation LLC 260 East Texas Basin GB,260 - East Texas Basin,Houston,TX,77002,"500 Dallas Street, Suite 1600",HARRIS COUNTY,29.75788,-95.37013,486210,W-GB,18305.456,30470.868,39535.474,40254.226,40334.522,42919.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012663,110070082428,Anadarko Basin Gathering and Boosting,360 - Anadarko Basin,Houston,TX,77002,"811 Main St., Suite 3400",,32.74631,-97.3416,486210,W-GB,,,,2897.59,13705.852,19978.83,26431.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012714,110070082422,Antero Midstream LLC- 160 Basin,160 - Appalachian Basin,Denver,CO,80202,1615 Wynkoop Street,DENVER COUNTY,39.752016,-105.000734,486210,W-GB,132285.338,43899.396,46426.092,57094.9,56027.558,55330.746,59320.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012652,110070082422,Antero Midstream LLC- 160A Basin,160A - Appalachian Basin (Eastern Overthrust Area),Denver,CO,80202,1615 Wynkoop Street,DENVER COUNTY,39.752016,-105.000734,486210,W-GB,1828886.534,1595571.61,1507874.85,1330408.046,911389.328,711419.714,369513.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013853,110070543180,Apache Corporation - Gathering and Boosting Gulf Coast 220,"220 - Gulf Coast Basin (LA, TX)",Houston,TX,77056,"2000 Post Oak Blvd, Suite 100",HARRIS COUNTY,29.7446,-95.4612,211120,W-GB,39554.254,22218.296,21470.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013392,110070543180,Apache Corporation - Gathering and Boosting Permian 430,430 - Permian Basin,Houston,TX,77056,"2000 Post Oak Blvd, Suite 100",HARRIS COUNTY,29.7446,-95.4612,211120,W-GB,755539.964,678144.098,596033.936,669988.876,99289.24,26552.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012584,110071162011,Appalachian Basin (Eastern Overthrust Area) Gathering and Boosting,160A - Appalachian Basin (Eastern Overthrust Area),Fort Worth,TX,76102,"1200 Summit Ave, Suite 320",TARRANT COUNTY,32.74631,-97.3416,486210,W-GB,,201900.834,259819.124,291361.712,370876.638,388378.662,386765.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012241,110071162175,Appalachian Basin Gathering & Boosting - AAPG Province 160A,160A - Appalachian Basin (Eastern Overthrust Area),Williamsport,PA,17701,"33 West Third Street, Suite 300",,30.16115,-95.45389,211130,W-GB,98346.096,136670.436,134659.542,116283.486,112082.9,110825.694,91414.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013076,110070209427,Arkla Gathering and Boosting QEP Energy,230 - Arkla Basin,Denver,CO,80625,1050 17th St. Suite 800,DENVER COUNTY,39.748472,-104.994034,211130,W-GB,,,,,29591.268,37816.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012656,110070082423,Arkoma Basin Gathering and Boosting,345 - Arkoma Basin,Houston,TX,77002,"811 Main St., Suite 3400",,32.74631,-97.3416,486210,W-GB,,,,70565.372,85820.572,96391.75,101084.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
