Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported emissions from Onshore Oil & Gas Production ,2021 Total reported emissions from Onshore Oil & Gas Production ,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009691,110043477573,430 Permian Basin QEP Energy Company,430 - Permian Basin,Denver,CO,80265,1050 17th Street Unit 800,HARRIS COUNTY,29.75608,-95.36433,211120,W-ONSH,,,275958.754,268413.584,310933.81,164413.68,88018.452,126172.056,126477.814,227417.346,29190.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009790,110038073679,507 Central Western Overthrust Basin - BP America Production Company,507 - Central Western Overthrust,Houston,TX,77079,501 Westlake Park Blvd.,HARRIS COUNTY,29.78111,-95.62893,211111,W-ONSH,,,,,,,,,,,182596.498,183586.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008294,110002994190,507 Central Western Overthrust QEP Energy Company,507 - Central Western Overthrust,Denver,CO,80265,"1050 17th Street, Suite 500",Denver,39.74846,-104.99402,211111,W-ONSH,,,,,,,69259.092,39547.492,27998.08,30344.936,32724.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012569,110070082371,515 Powder River Basin,515 - Powder River Basin,Denver,CO,80202,"1401 17th Street, Suite 900",,39.7312095,-104.9826965,211120,W-ONSH,,14883.806,18633.75,17937.338,39969.944,18933.884,6976.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009278,,515 Powder River Basin DEC,515 - Powder River Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,,35.4711808,-97.516602,211120,W-ONSH,182557.69,200083.958,212138.61,278372.838,186275.394,134923.808,63692.546,130588.372,167380.398,54374.222,44507.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011262,110058239204,515 Powder River Basin RKI Exploration & Production,515 - Powder River Basin,Oklahoma City,OK,73112,"3817 NW Expressway, STE 950",OKLAHOMA COUNTY,35.513564,-97.578898,211111,W-ONSH,,,,,,,,,40443.722,129389.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008622,,535 Green River Basin - BP America Production Company,535 - Green River Basin,Houston,TX,77079,501 Westlake Park Blvd.,,29.78037,-95.6295,211130,W-ONSH,,,378232.832,357229.178,431334.762,527676.48,937829.9,929804.558,830568.134,804376.79,716661.178,746531.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008621,110014409684,535 Green River Basin DEC,535 - Green River Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,Oklahoma,35.46734,-97.51406,211111,W-ONSH,,,,,,,,,,158873.598,171544.964,243836.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008295,110002994190,535 Green River Basin QEP Energy Company,535 - Green River Basin,Denver,CO,80265,"1050 17th Street, Suite 500",DENVER COUNTY,39.74846,-104.99402,211120,W-ONSH,,,,711.15,782.5,14575.102,438420.85,446839.292,221093.122,229904.492,232967.3,211218.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009282,,575 Uinta Basin QEP Energy Company,575 - Uinta Basin,Denver,CO,80265,"1050 17th Street, Suite 500",,39.7480769,-104.994564,211130,W-ONSH,,,,0,3298.2,413814.628,371113.008,478469.278,412645.558,418396.766,479851.07,561364.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009076,,580 San Juan Basin - Simcoe LLC,580 - San Juan Basin,DURANGO,CO,81301,1199 MAIN AVE SUITE 101,,29.78037,-95.6295,211130,W-ONSH,972213.418,1127421.196,1076366.59,1126149.108,1204716.792,1335105.636,1633541.602,1418584.802,1324080.918,1341704.792,1014237.582,1038792.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008974,110014409684,580 San Juan Basin DEC,580 - San Juan Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,Oklahoma,35.46735,-97.5145,211111,W-ONSH,,,,,,,,137773.65,109559.496,121908.046,95747.622,203364.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008499,,745 San Joaquin Basin Chevron USA Inc.,745 - San Joaquin Basin,San Ramon,CA,94583,6001 Bollinger Canyon Rd.,,37.795963,-122.022317,211120,W-ONSH,,,,,,,,28318.686,33624.472,27096.472,24888.598,87678.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
